open_time,open,high,low,close,volume
1514851200,754.99,899.5,749.06,855.28,113257.78355
1514937600,855.13,950.01,810.0,934.03,89041.45688
1515024000,934.0300000000001,1009.72,890.01,940.0,102894.47384
1515110400,939.9999999999999,1045.0,930.0000000000001,959.2999999999998,97374.0163
1515196800,958.0000000000001,1017.5600000000001,950.0000000000001,1004.11,71954.27895
1515283200,1003.71,1125.0,999.9,1123.09,65278.81957
1515369600,1123.09,1239.18,910.0,1133.18,158831.54798
1515456000,1133.18,1326.5,1104.85,1291.0,118702.88684
1515542400,1291.0,1440.0,1201.1,1247.0,160185.0129
1515628800,1249.03,1332.49,1021.0,1138.93,194546.29387
1515715200,1136.45,1288.5,1069.01,1253.87,93763.47261
1515801600,1253.87,1427.01,1252.0,1388.02,75893.43201
1515888000,1388.1000000000001,1391.89,1220.89,1347.0,98391.19585
1515974400,1347.99,1383.13,1258.12,1271.0,69236.70476
1516060800,1268.67,1275.01,780.0,1000.0,343889.36509
1516147200,999.99,1075.51,754.9999999999999,1000.0,436333.67326
1516233600,1000.0,1075.2,924.2100000000002,994.0,294545.71207
1516320000,993.3,1079.0,941.0000000000001,1032.5,167954.11253
1516406400,1032.5,1165.4,1031.0,1152.75,123352.58362
1516492800,1150.37,1152.69,998.0,1049.0,175031.00789
1516579200,1049.0,1090.15,907.9999999999999,992.9999999999999,185212.52002
1516665600,993.0,1030.0,909.0,980.0,160159.63958
1516752000,981.2,1074.0,953.09,1061.0,134257.7947
1516838400,1060.34,1115.0,1030.26,1056.52,119415.93495
1516924800,1055.29,1082.0,986.0000000000001,1051.03,145113.638
1517011200,1051.03,1127.99,1032.2,1118.99,96894.33839
1517097600,1118.99,1277.0,1112.0,1251.96,143510.73586
1517184000,1251.96,1258.89,1161.65,1177.01,105292.76808
1517270400,1177.01,1186.85,1051.0,1085.5,155278.55404
1517356800,1084.63,1135.0,1029.0,1124.81,100372.03783
1517443200,1125.96,1164.99,981.0,1041.94,203355.29052
1517529600,1041.89,1047.2,783.67,922.3,377375.22874
1517616000,923.67,998.0,851.0,971.0,160037.88129
1517702400,971.0,975.0000000000001,789.0,823.56,186446.0316
1517788800,821.6000000000001,862.47,634.94,697.92,365516.52899
1517875200,697.93,798.0,570.1,779.25,648944.4204
1517961600,779.99,848.9999999999999,714.18,754.0,356403.4441
1518048000,753.19,786.93,751.0,781.66,10516.2619
1518134400,781.6599999999999,882.2,781.6599999999999,877.0,95447.67289
1518220800,876.3,911.2,800.0,851.15,214818.06768
1518307200,851.15,857.0,768.28,808.9900000000001,189323.408
1518393600,808.58,877.56,807.46,866.66,143586.93121
1518480000,866.39,871.0,819.9999999999999,841.57,110305.93537
1518566400,841.57,924.9899999999999,841.3,919.0899999999999,150342.85558
1518652800,919.09,946.66,895.5900000000001,924.55,155637.78524
1518739200,924.55,948.48,901.36,938.67,115540.16349
1518825600,938.6,974.0,933.48,969.99,110091.03618
1518912000,969.99,978.5,897.0,911.0,160129.79518
1518998400,911.0000000000001,956.22,906.0400000000001,938.11,80099.49534
1519084800,939.17,961.0,873.0,882.99,120056.67502
1519171200,882.99,908.88,812.87,835.8899999999999,176200.55151
1519257600,836.35,871.96,786.6,801.49,137561.85113
1519344000,801.47,885.0,785.99,851.6,154507.41338
1519430400,851.5900000000001,875.0000000000001,804.9999999999999,833.94,89311.5794
1519516800,833.92,849.5,813.18,841.19,59431.26474
1519603200,841.46,882.0,833.0,867.98,74911.4656
1519689600,867.98,897.49,860.69,870.11,63487.68425
1519776000,871.84,891.0,850.3,853.5,53620.45209
1519862400,853.5,879.9600000000002,848.6499999999999,870.6299999999999,43785.00503
1519948800,870.6299999999999,876.22,850.0,856.28,39436.26006
1520035200,856.27,870.78,852.3,856.02,34170.2942
1520121600,856.51,868.0000000000001,836.24,866.66,29735.01829
1520208000,866.6099999999999,871.75,847.2,849.84,30567.79813
1520294400,849.81,853.18,803.01,813.1099999999999,48658.06883
1520380800,813.31,826.2,718.4,749.9,109013.2838
1520467200,749.02,772.07,684.0,695.46,76312.77819
1520553600,695.48,727.92,640.0,723.71,116545.37303
1520640000,723.65,745.0,673.06,680.58,63012.67972
1520726400,680.58,735.0,659.15,720.85,73967.35869
1520812800,721.0,740.5,676.31,697.11,67732.85988
